num,api,keys2
1,#blue,Messaging England
2,.tel,Domains
3,123 Shop Pro,eCommerce
4,123ContactForm,"Tools Surveys,Forms"
5,12seconds.tv,Video Blogging
6,140 Proof,Advertising
7,18amail,Email Marketing
8,1Map,"Mapping African,Addresses"
9,23,Photos
10,30 Boxes,Calendars Events
11,411Sync,"Messaging Mobile,Telephony"
12,43 Places,"Social Classification,Travel"
13,43Things,Goals Classification
14,4Shared,"File Sharing Media,Social,Storage,Tools"
15,500px,Photos Social
16,7digital,"Music Audio,Streaming"
17,8coupons,"eCommerce Coupons,Localization,Aggregation"
18,99designs Tasks,"Design Business,Graphics,Images,Photos"
19,9flats,"Travel Housing,Rentals"
20,Abbreviations,Reference
21,AbeBooks,"Search Books,Referrals"
22,Abios Esports,"eSports Database,Fantasy Sports,Gambling,Games,Sports"
23,AccuWeather,Weather
24,Active,"Events Activity Streams,Fishing,Registration,Sports"
25,Active.com,Sports
26,Actual Reports,"Office Design,Reporting,Printing"
27,AddThis Analytics,Social Analytics
28,AddThis Menu,Bookmarks Social
29,AddThis Services,Social Bookmarks
30,AddThis Sharing Endpoints,Social
31,Aden Forshaw&amp;#039;s The Cat,"Photos Animals,Humor"
32,Adility,"eCommerce Business,Localization"
33,Adobe on AIR Bus Tour,Other Events
34,Adobe Share,Storage Office
35,Adobe Social,Social
36,Aevum Obscurum,Games
37,Agendize Action,"Enterprise Chat,Messaging,Messaging,Telephony,Business"
38,AgentRank,Real Estate
39,Ahrefs,"Backend URLs,Testing,Analytics,Security"
40,aideRSS,Feeds
41,AIM Phoneline,"Telephony VoIP,Messaging"
42,Airbnb,Travel Rentals
43,Airbrake,Tools
44,Akismet,Blogging
45,AlchemyAPI Keyword and Term Extraction,Other
46,AlchemyAPI Text Categorization,Other
47,Alexa Site Thumbnail,Photos
48,Alexa Skill Management,"Tools Applications,Artificial Intelligence,Internet of Things,Management,Testing,Voice"
49,Alexa Top Sites,SEO
50,Alexa Web Information Service,Search SEO
51,Alexa Web Search,Search
52,Allmyles,"Travel Air Travel,Booking,Hotels"
53,Allogarage,"eCommerce Auto,French"
54,AlternativeTo,Recommendations Directories
55,Altmetric,Education
56,Amadeus,"Travel Air Travel,Booking,Hotels,Travel"
57,Amazon A9 OpenSearch,Search
58,Amazon Alexa Proactive Events,Internet of Things
59,Amazon Alexa Skill Voice Service,Hardware Artificial Intelligence
60,Amazon Alexa Smart Home Skills,"Internet of Things Automation,Home Automation,Integration,Voice"
61,Amazon CloudWatch,Platform-as-a-Service Monitoring
62,Amazon DynamoDB,Database NoSQL
63,Amazon EC2,"Cloud Datacenter,Domains,Hosting"
64,Amazon Flexible Payments Service,Payments eCommerce
65,Amazon Fulfillment Web Service,eCommerce
66,Amazon Historical Pricing,eCommerce
67,Amazon Marketplace Web Service,"eCommerce Marketplace,Sales"
68,Amazon Mechanical Turk,Other Crowdsourcing
69,Amazon MWS,"Application Development eCommerce,Marketplace,Software-as-a-Service"
70,Amazon Product Advertising,eCommerce Advertising
71,Amazon Queue Service,Messaging Tools
72,Amazon RDS Relational Database Service,Database Platform-as-a-Service
73,Amazon Redshift,Database Storage
74,Amazon S3,Storage Cloud
75,Amazon SES,Email Protocol
76,Amazon SimpleDB,Database
77,Amazon SNS,Messaging USA
78,Amazonca,"Reference Barcodes,eCommerce"
79,AMEE,"Science Environment,Sustainability,Weather"
